time,ch0,ch1,ch2
0.18199706077575684,96,4095,144
0.18900108337402344,4095,4095,368
0.19504904747009277,294,314,4095
0.2025899887084961,197,188,162
0.2082669734954834,4095,129,177
0.21412110328674316,4095,144,4095
0.21957111358642578,157,113,4095
0.22683024406433105,4095,4095,229
0.2330019474029541,96,4095,4095
0.23910212516784668,71,4095,4095
0.24458599090576172,4095,4095,216
0.2518038749694824,4095,295,4095
0.257519006729126,181,176,163
0.26334404945373535,4095,134,135
0.2691500186920166,157,160,4095
0.2752649784088135,161,146,4095
0.281217098236084,4095,4095,162
0.2875521183013916,4095,4095,4095
0.29332685470581055,101,4095,170
0.29924988746643066,4095,4095,347
0.3052229881286621,4095,320,4095
0.31204700469970703,202,223,153
0.3177340030670166,4095,154,191
0.3235740661621094,4095,160,4095
0.32958006858825684,162,130,4095
0.33525609970092773,4095,4095,202
0.3412659168243408,119,4095,4095
0.3476569652557373,99,4095,176
0.35434603691101074,4095,4095,327
0.3606300354003906,269,300,4095
0.3667430877685547,201,182,151
0.37279224395751953,4095,140,176
0.37926602363586426,4095,164,4095
0.38578319549560547,159,128,4095
0.3920011520385742,4095,4095,187
0.3979830741882324,105,4095,4095
0.40436410903930664,124,4095,142
0.4111289978027344,4095,4095,291
0.41654205322265625,4095,313,4095
0.4228169918060303,182,181,153
0.42973804473876953,4095,144,157
0.43561816215515137,159,177,4095
0.4413151741027832,155,203,4095
0.44762706756591797,4095,4095,222
0.454132080078125,2368,4095,4095
0.46129894256591797,106,4095,146
0.4674508571624756,4095,4095,391
0.4740729331970215,4095,307,4095
0.480180025100708,203,187,153
0.4864997863769531,4095,166,157
0.4925849437713623,176,153,4095
0.49917101860046387,157,144,4095
0.5053188800811768,4095,4095,208
0.5111451148986816,119,4095,4095
0.516948938369751,110,4095,139
0.5235750675201416,4095,4095,388
0.5305109024047852,288,294,4095
0.5373990535736084,4095,110,154
0.5436129570007324,4095,144,165
0.5498981475830078,4095,136,4095
0.5562739372253418,156,150,4095
0.5638649463653564,4095,4095,204
0.5706241130828857,119,4095,4095
0.5768909454345703,112,4095,157
0.5831210613250732,4095,4095,447
0.5901451110839844,4095,283,4095
0.5971741676330566,190,167,155
0.6031570434570312,4095,149,162
0.6091048717498779,162,209,4095
0.6151161193847656,154,189,4095
0.6211090087890625,4095,4095,208
0.6268811225891113,131,4095,4095
0.6335701942443848,99,4095,144
0.6404750347137451,4095,4095,383
0.6476831436157227,4095,309,4095
0.6544079780578613,203,182,155
0.6613368988037109,4095,163,147
0.6692910194396973,176,149,4095
0.67665696144104,147,145,4095
0.682697057723999,4095,4095,240
0.6890051364898682,123,4095,4095
0.6971578598022461,106,4095,119
0.7041590213775635,4095,4095,400
0.7129521369934082,297,290,4095
0.7199559211730957,4095,183,177
0.7267332077026367,4095,143,144
0.7335779666900635,4095,174,4095
0.7398631572723389,158,145,4095
0.746819019317627,4095,4095,223
0.7544400691986084,109,4095,4095
0.7605369091033936,112,4095,158
0.7669079303741455,4095,4095,431
0.7732670307159424,4095,288,4095
0.7801082134246826,181,181,144
0.7866330146789551,4095,143,142
0.7928860187530518,172,156,4095
0.7988791465759277,159,176,4095
0.8058099746704102,4095,4095,177
0.8126680850982666,128,4095,4095
0.819464921951294,70,4095,145
0.825859785079956,4095,4095,339
0.8317708969116211,4095,318,4095
0.8383030891418457,193,171,150
0.8457579612731934,4095,112,153
0.8519618511199951,192,154,4095
0.857752799987793,219,164,4095
0.8635189533233643,4095,4095,242
0.8699369430541992,119,4095,4095
0.8761959075927734,96,4095,400
0.8830111026763916,4095,4095,255
